seccion;Nombre;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Población
2807916038;Madrid;46.8;13.8;24.8;1305
2807916049;Madrid;49.8;6.9;27.2;1202
2807916050;Madrid;47.1;11.6;27.5;1485
2807916074;Madrid;46.4;14.7;25.6;1111
2807916086;Madrid;42.7;17.0;15.4;2106
2807916098;Madrid;47.6;11.3;26.0;1457
2807916099;Madrid;44.1;15.8;23.3;1736
2807916113;Madrid;37.8;23.3;10.6;1842
2807916117;Madrid;32.2;32.2;5.1;2508
2807916118;Madrid;30.7;33.7;2.8;2571
2807916125;Madrid;32.3;33.6;5.6;2044
2807916005;Madrid;42.6;19.4;20.0;1873
2807916007;Madrid;43.2;19.3;22.3;2193
2807916011;Madrid;45.9;15.9;22.9;1255
2807916015;Madrid;51.0;11.7;36.5;1226
2807916031;Madrid;47.9;9.1;23.2;1324
2807916035;Madrid;45.0;16.5;24.1;1561
2807916045;Madrid;42.7;16.6;19.2;1637
2807916053;Madrid;43.6;18.2;24.4;937
2807916065;Madrid;47.3;11.1;28.3;921
2807916082;Madrid;45.0;12.9;18.7;801
2807916119;Madrid;31.9;29.0;4.8;1875
2807916013;Madrid;50.8;12.9;36.0;1027
2807916020;Madrid;48.4;12.6;33.3;1215
2807916027;Madrid;49.1;13.6;32.7;756
2807916037;Madrid;50.1;11.4;29.9;950
2807916041;Madrid;48.3;12.2;28.5;688
2807916047;Madrid;52.1;12.3;38.2;617
2807916048;Madrid;45.3;13.8;22.3;2193
2807916066;Madrid;47.0;12.5;29.1;967
2807916071;Madrid;46.2;12.5;22.5;1161
2807916076;Madrid;48.3;13.3;32.1;1218
2807916078;Madrid;44.1;13.5;20.2;914
2807916080;Madrid;48.2;16.1;31.6;822
2807916090;Madrid;46.0;12.1;23.6;1473
2807916115;Madrid;33.1;31.4;6.5;1785
2807916121;Madrid;37.2;25.6;8.8;1666
2807916001;Madrid;40.8;21.3;16.8;1838
2807916003;Madrid;36.9;25.8;7.8;2175
2807916012;Madrid;50.0;11.9;27.7;700
2807916018;Madrid;50.5;13.3;38.3;825
2807916046;Madrid;47.1;14.3;28.6;1757
2807916061;Madrid;50.7;11.8;38.2;1401
2807916091;Madrid;32.1;33.4;2.8;2496
2807916100;Madrid;43.9;11.6;13.6;1044
2807916101;Madrid;46.1;8.1;15.3;1249
2807916104;Madrid;40.4;15.5;7.8;2105
2807916109;Madrid;33.9;26.5;6.0;2427
2807916114;Madrid;31.7;32.3;4.9;2768
2807916120;Madrid;34.0;30.8;5.2;1880
2807916123;Madrid;31.3;34.2;4.4;1710
2807916025;Madrid;41.3;16.1;12.5;2129
2807916036;Madrid;37.3;29.0;11.8;2621
2807916042;Madrid;47.2;13.9;28.3;807
2807916051;Madrid;44.7;14.9;26.4;969
2807916052;Madrid;46.9;14.2;29.9;1150
2807916059;Madrid;49.1;11.6;31.3;1780
2807916060;Madrid;48.8;13.1;32.8;1560
2807916126;Madrid;30.4;33.5;5.9;1588
2807916127;Madrid;33.0;32.8;6.8;1508
2807916128;Madrid;31.8;29.4;4.3;2187
2807916129;Madrid;28.8;30.2;1.4;2067
2807917002;Madrid;45.0;15.3;25.8;1278
2807917008;Madrid;41.7;19.2;19.0;1444
2807917011;Madrid;42.0;16.7;18.3;1248
2807917021;Madrid;39.2;18.6;11.1;1095
2807917027;Madrid;42.6;16.3;16.4;1925
2807917053;Madrid;45.1;15.4;28.2;1005
2807917066;Madrid;41.4;18.3;18.5;1167
2807917085;Madrid;52.9;11.2;38.6;722
2807917093;Madrid;48.1;12.4;30.6;693
2807917104;Madrid;41.5;17.1;12.4;1976
2807917009;Madrid;41.5;17.3;17.4;968
2807917026;Madrid;42.7;17.7;22.8;1291
2807917029;Madrid;37.6;19.7;8.2;1562
2807917048;Madrid;40.5;18.2;11.5;1839
2807917050;Madrid;44.0;14.1;21.8;1346
2807917055;Madrid;47.5;11.9;28.7;1626
2807917061;Madrid;39.7;20.4;16.6;1286
2807917065;Madrid;45.0;14.2;23.7;1168
2807917069;Madrid;42.8;17.4;21.7;1508
2807917078;Madrid;53.3;10.7;42.9;1338
2807917079;Madrid;49.0;12.3;30.9;822
2807917087;Madrid;49.1;13.1;30.5;1542
2807917091;Madrid;44.9;15.2;20.5;1131
2807917094;Madrid;45.8;15.2;27.3;827
2807917097;Madrid;45.4;11.7;18.1;1589
2807917099;Madrid;41.8;12.9;13.1;815
2807917010;Madrid;44.0;17.6;22.9;1188
2807917012;Madrid;43.5;16.9;21.3;1523
2807917020;Madrid;43.8;14.3;16.7;840
2807917022;Madrid;44.4;17.3;20.2;1017
2807917028;Madrid;40.7;21.0;16.7;1204
2807917052;Madrid;46.3;13.1;28.5;1144
2807917054;Madrid;43.6;17.1;23.7;1160
2807917062;Madrid;41.5;17.7;18.7;1472
2807917070;Madrid;50.2;8.6;29.4;1335
2807917074;Madrid;49.1;13.5;31.9;844
2807917076;Madrid;51.7;12.2;40.4;1214
2807917098;Madrid;38.3;23.0;11.3;1181
2807917102;Madrid;48.3;10.2;23.6;1189
2807917105;Madrid;40.7;16.3;10.1;1537
2807917106;Madrid;35.3;28.1;5.6;3037
2807917111;Madrid;30.5;32.0;3.1;3435
2807917112;Madrid;33.7;30.5;5.3;2076
2807917004;Madrid;41.8;17.3;17.4;2208
2807917013;Madrid;44.6;15.5;21.6;897
2807917014;Madrid;41.3;18.8;17.8;1156
2807917035;Madrid;37.1;22.5;12.2;1175
2807917042;Madrid;38.0;22.0;13.6;1466
2807917045;Madrid;36.6;25.0;8.9;1989
2807917072;Madrid;40.3;19.3;16.3;1121
2807917082;Madrid;46.4;14.7;25.3;1480
2807917096;Madrid;41.6;18.3;12.6;1260
2807917100;Madrid;41.2;18.9;19.4;1034
2807917003;Madrid;46.7;13.1;25.4;1263
2807917006;Madrid;43.4;16.5;19.6;1568
2807917019;Madrid;42.2;18.8;20.9;916
2807917031;Madrid;37.8;22.5;12.9;1089
2807917032;Madrid;39.2;20.9;14.6;1926
2807917036;Madrid;41.9;18.5;18.7;931
2807917057;Madrid;43.1;16.5;20.0;1442
2807917063;Madrid;42.9;17.3;21.0;1038
2807917068;Madrid;41.4;17.9;15.9;1536
2807917073;Madrid;50.3;13.6;33.5;920
2807917086;Madrid;51.1;12.8;34.7;772
2807917090;Madrid;47.5;14.7;28.4;1080
2807917109;Madrid;42.6;16.0;17.2;1192
2807917114;Madrid;33.0;30.2;5.1;1697
2807917007;Madrid;42.8;18.4;20.2;889
2807917016;Madrid;44.9;15.8;24.7;897
2807917018;Madrid;41.9;16.5;18.1;1053
2807917059;Madrid;42.7;16.0;18.8;1435
2807917071;Madrid;47.1;12.3;26.9;1852
2807917075;Madrid;47.5;12.5;28.7;1475
2807917083;Madrid;44.2;17.1;21.2;1417
2807917092;Madrid;48.6;12.3;31.3;832
2807917113;Madrid;37.5;23.3;8.8;2072
2807917015;Madrid;41.3;18.9;19.2;1305
2807917024;Madrid;42.6;18.0;19.3;1782
2807917025;Madrid;43.6;18.3;23.7;816
2807917037;Madrid;37.6;22.9;12.6;1086
2807917038;Madrid;40.3;18.9;15.6;1364
2807917039;Madrid;41.5;17.8;16.2;1667
2807917043;Madrid;38.3;22.9;14.8;1902
2807917046;Madrid;40.4;20.0;18.1;1752
2807917049;Madrid;40.6;18.5;16.8;1089
2807917084;Madrid;46.0;16.9;24.9;995
2807917089;Madrid;46.5;13.3;23.8;1165
2807917103;Madrid;38.5;23.9;10.6;2302
2807917108;Madrid;36.7;27.2;7.9;1494
2807917017;Madrid;45.9;12.5;24.3;1127
2807917023;Madrid;44.0;14.9;19.5;1909
2807917033;Madrid;36.6;24.4;11.5;1340
2807917041;Madrid;37.4;21.1;11.0;1151
2807917047;Madrid;41.6;17.5;18.8;1562
2807917051;Madrid;40.9;19.8;18.1;1157
2807917058;Madrid;41.9;16.0;16.6;1323
2807917060;Madrid;42.9;17.4;20.7;938
2807917064;Madrid;43.7;15.6;20.9;1388
2807917080;Madrid;43.7;16.3;18.4;1623
2807917095;Madrid;47.7;14.6;32.9;852
2807917101;Madrid;41.5;15.6;16.1;1828
2807917107;Madrid;31.9;33.1;3.8;2550
2807917110;Madrid;32.2;34.2;4.6;2219
2807917115;Madrid;31.8;26.7;4.5;1081
2807917116;Madrid;40.7;17.2;10.8;1250
2807921003;Madrid;47.8;13.0;31.2;1223
2807921019;Madrid;43.4;11.8;16.9;1309
2807921023;Madrid;41.8;17.4;16.4;1096
2807921017;Madrid;44.4;12.1;18.4;1477
2807921002;Madrid;46.3;14.3;29.7;1513
2807921012;Madrid;43.4;18.7;23.7;936
2807921022;Madrid;41.2;18.6;14.0;1681
2807921027;Madrid;34.3;31.6;5.9;2623
2807921005;Madrid;37.9;27.0;16.3;1860
2807921007;Madrid;42.4;21.9;21.3;1984
2807921021;Madrid;42.0;16.5;15.0;1239
2807921031;Madrid;32.3;28.3;4.6;2393
2807921001;Madrid;40.6;24.8;19.4;1586
2807921008;Madrid;47.8;15.9;33.5;687
2807921010;Madrid;45.5;18.0;28.8;1316
2807921015;Madrid;41.1;17.1;15.6;1758
2807921018;Madrid;43.2;15.1;19.6;1486
2807921026;Madrid;43.1;13.1;15.4;1601
2807921029;Madrid;33.6;32.8;4.4;1665
2807921009;Madrid;49.1;14.6;33.8;659
2807921025;Madrid;44.6;19.1;24.3;1384
2807921028;Madrid;37.9;23.6;11.2;1395
2807921004;Madrid;46.4;15.0;28.6;1148
2807921013;Madrid;47.1;15.3;30.4;1317
2807921014;Madrid;43.0;18.5;21.1;2112
2807921020;Madrid;46.1;10.7;22.0;1779
2807921032;Madrid;33.2;30.6;5.4;1709
2807921006;Madrid;44.7;18.7;28.2;1310
2807921011;Madrid;42.2;20.2;20.8;1724
2807921030;Madrid;38.4;22.3;11.2;1565
2807921033;Madrid;30.0;31.2;3.7;1953
2807910014;Madrid;46.0;10.6;20.7;817
2807910024;Madrid;43.2;12.7;16.5;1167
2807910029;Madrid;45.1;12.7;23.0;1377
2807910033;Madrid;42.7;14.8;17.2;964
2807910052;Madrid;45.2;14.5;25.3;1196
2807910055;Madrid;45.4;14.0;25.4;1220
2807910060;Madrid;43.6;17.1;20.5;1972
2807910077;Madrid;46.7;13.8;23.4;790
2807910083;Madrid;46.1;14.1;24.5;728
2807910086;Madrid;45.1;13.4;23.0;1517
2807910099;Madrid;50.1;11.7;32.6;1090
2807910102;Madrid;50.5;13.0;38.4;654
2807910106;Madrid;52.1;10.4;40.4;1378
2807910110;Madrid;46.2;13.2;25.4;854
2807910133;Madrid;47.2;12.6;26.3;1658
2807910134;Madrid;53.8;9.5;42.1;622
2807910140;Madrid;47.9;13.9;31.3;859
2807910144;Madrid;43.3;15.9;19.6;1298
2807910161;Madrid;46.1;16.1;25.5;1629
2807910191;Madrid;48.9;12.3;29.1;1627
2807910202;Madrid;50.3;13.6;33.3;721
2807910214;Madrid;42.9;14.2;11.7;1874
2807910216;Madrid;35.1;26.2;7.4;1260
2807910002;Madrid;38.8;22.3;14.1;974
2807910004;Madrid;46.3;14.5;22.3;753
2807910005;Madrid;44.4;16.0;19.3;1228
2807910012;Madrid;48.0;11.9;26.5;941
2807910016;Madrid;46.1;13.0;23.7;1212
2807910017;Madrid;47.2;13.9;27.7;931
2807910025;Madrid;44.0;13.4;18.4;1188
2807910030;Madrid;43.4;14.2;19.0;1302
2807910061;Madrid;45.5;15.3;24.8;1543
2807910063;Madrid;45.1;15.0;23.2;1571
2807910081;Madrid;50.3;11.8;37.5;1207
2807910090;Madrid;51.5;10.3;37.0;874
2807910092;Madrid;45.6;14.5;25.0;825
2807910096;Madrid;45.2;14.0;23.6;1447
2807910100;Madrid;47.2;13.2;31.4;968
2807910114;Madrid;44.0;13.6;20.7;1085
2807910118;Madrid;49.2;12.6;35.0;1122
2807910123;Madrid;51.8;10.4;38.0;885
2807910124;Madrid;43.5;16.4;22.7;1460
2807910125;Madrid;47.0;13.2;28.0;743
2807910130;Madrid;51.2;11.1;36.9;1606
2807910131;Madrid;49.4;10.5;33.9;1118
2807910137;Madrid;44.5;14.7;22.2;1007
2807910156;Madrid;55.4;10.6;43.1;886
2807910164;Madrid;43.7;15.3;21.3;1390
2807910178;Madrid;49.8;12.9;35.4;1069
2807910180;Madrid;46.1;16.1;27.1;1236
2807910184;Madrid;52.9;11.9;39.0;935
2807910212;Madrid;48.7;9.1;25.9;997
2807910003;Madrid;39.9;20.1;14.3;890
2807910009;Madrid;44.4;14.4;22.3;1113
