seccion;municipio;Renta neta media por persona
2800601029;Alcobendas;11868
2800601030;Alcobendas;16765
2800601031;Alcobendas;14303
2800601032;Alcobendas;12658
2800601033;Alcobendas;30210
2800601034;Alcobendas;30210
2800601035;Alcobendas;30210
2800601036;Alcobendas;30210
2800601037;Alcobendas;24277
2800601038;Alcobendas;12483
2800601039;Alcobendas;26814
2800601040;Alcobendas;30210
2800601041;Alcobendas;30210
2800601042;Alcobendas;9884
2800601043;Alcobendas;9178
2800601044;Alcobendas;16406
2800601045;Alcobendas;13734
2800601046;Alcobendas;12580
2800601047;Alcobendas;17325
2800601048;Alcobendas;30210
2800601049;Alcobendas;13979
2800601050;Alcobendas;21747
2800601051;Alcobendas;16552
2800601052;Alcobendas;20152
2800601053;Alcobendas;21511
2800601054;Alcobendas;12194
2800601055;Alcobendas;14968
2800601056;Alcobendas;12672
2800601057;Alcobendas;18398
2800601058;Alcobendas;11371
2800601059;Alcobendas;30210
2800601060;Alcobendas;20978
2800601061;Alcobendas;11620
2800601062;Alcobendas;14487
2800601063;Alcobendas;20138
2800601064;Alcobendas;14436
2800601065;Alcobendas;15927
2800601066;Alcobendas;17802
2800601067;Alcobendas;29767
2800601068;Alcobendas;24313
2800701001;Alcorcón;13332
2800701002;Alcorcón;8430
2800701003;Alcorcón;10901
2800701004;Alcorcón;9076
2800701005;Alcorcón;11288
2800701006;Alcorcón;10257
2800701007;Alcorcón;9029
2800701008;Alcorcón;9673
2800701010;Alcorcón;8951
2800701011;Alcorcón;8592
2800701012;Alcorcón;9072
2800701013;Alcorcón;8801
2800701014;Alcorcón;10629
2800701015;Alcorcón;17125
2800701016;Alcorcón;13937
2800701017;Alcorcón;17093
2800701018;Alcorcón;17963
2800701019;Alcorcón;13874
2800701020;Alcorcón;14655
2800702001;Alcorcón;13418
2800702002;Alcorcón;14665
2800702003;Alcorcón;13511
2800702004;Alcorcón;15110
2800702005;Alcorcón;14799
2800702006;Alcorcón;15459
2800702007;Alcorcón;15990
2800702008;Alcorcón;16731
2800702009;Alcorcón;14380
2800702010;Alcorcón;12835
2800702011;Alcorcón;11797
2800702012;Alcorcón;10500
2800702013;Alcorcón;11197
2800702014;Alcorcón;11959
2800702015;Alcorcón;12781
2800702016;Alcorcón;13578
2800702017;Alcorcón;13205
2800702019;Alcorcón;13318
2800702020;Alcorcón;15791
2800702021;Alcorcón;16129
2800702022;Alcorcón;11159
2800702023;Alcorcón;14549
2800702024;Alcorcón;14413
2800702025;Alcorcón;14881
2800702026;Alcorcón;14250
2800702027;Alcorcón;13569
2800702028;Alcorcón;12579
2800702029;Alcorcón;10730
2800702030;Alcorcón;16071
2800702031;Alcorcón;12763
2800702032;Alcorcón;15086
2800702033;Alcorcón;10065
2800702034;Alcorcón;14292
2800702035;Alcorcón;14794
2800702036;Alcorcón;13271
2800702037;Alcorcón;16021
2800702038;Alcorcón;17005
2800703001;Alcorcón;11137
2800703002;Alcorcón;9567
2800703003;Alcorcón;10439
2800703004;Alcorcón;9902
2800703005;Alcorcón;11566
2800703006;Alcorcón;8897
2800703007;Alcorcón;9607
2800703008;Alcorcón;8604
2800703009;Alcorcón;11816
2800703010;Alcorcón;8976
2800703011;Alcorcón;12536
2800703012;Alcorcón;13205
2800703013;Alcorcón;12479
2800703014;Alcorcón;13536
2800703015;Alcorcón;14330
2800703016;Alcorcón;12483
2800703017;Alcorcón;11782
2800703018;Alcorcón;11990
2800703019;Alcorcón;11906
2800703020;Alcorcón;12757
2800703021;Alcorcón;12172
2800703022;Alcorcón;14406
2800703023;Alcorcón;12259
2800703024;Alcorcón;13114
2800703025;Alcorcón;11104
2800703026;Alcorcón;9994
2800703027;Alcorcón;12363
2800703028;Alcorcón;12035
2800703029;Alcorcón;9688
2800704001;Alcorcón;8139
2800704002;Alcorcón;7309
2800704003;Alcorcón;7414
2800704004;Alcorcón;7879
2800704005;Alcorcón;8193
2800704006;Alcorcón;10939
2800704007;Alcorcón;12099
2800704008;Alcorcón;11820
2800704009;Alcorcón;8564
2800704010;Alcorcón;8427
2800704011;Alcorcón;8566
2800704012;Alcorcón;9690
2800704013;Alcorcón;8649
2800704014;Alcorcón;8745
2800704015;Alcorcón;11794
2800704016;Alcorcón;11364
2800704017;Alcorcón;8766
2800704018;Alcorcón;12171
2800704019;Alcorcón;11987
2800704020;Alcorcón;12175
2800704021;Alcorcón;9095
2800704022;Alcorcón;11178
2800704023;Alcorcón;15885
2800704024;Alcorcón;14290
2800704025;Alcorcón;13311
2800704026;Alcorcón;13826
2800704027;Alcorcón;12504
